title|description
arbitration|A system for settling disputes by submitting them to the judgement of a mediator acceptable to both parties. An arbitrator may be an independent individual, or a committee, often containing nominees of both parties with an independent person in the chair. Arbitration is often used in commercial and labour disputes, as it is usually quicker and cheaper than legal or *industrial action. It may be binding, where both parties are obliged by law or by contract to accept the results. Even when it is not binding, the parties may well accept the result rather than face the delays, costs, and risk involved in resort to legal or industrial action. See also pendulum arbitration.
arc elasticity|The ratio of the proportional change in one variable to the proportional change in another, as measured between two points over a finite range. Arc elasticity is distinguished from *point elasticity, which is the limit approached by arc elasticity as the two points move closer together.
arm’s-length price|The price that two unrelated parties would agree for a transaction conducted in the absence of duress. If the good involved in the transaction is traded on a competitive market then the *equilibrium price is the arm’s-length price. If the good is not traded, such as an *intermediate good transferred between two subsidiaries of a single firm, then the arm’s-length price is intended to reflect the equilibrium price that would emerge if it were traded. The concept of arm’s-length price is used by tax authorities to determine the allocation of taxable liability for a multinational firm operating in two or more countries. See also transfer pricing.
arrears|The total value that is overdue after failing to make one or more required payments on a financial contract. ‘In arrears’ refers to the state of being behind in fulfilling obligations. The term is applied to contracts with periodic payments such as loans and mortgages, rent, and child support.
Arrow–Debreu economy|A model of the economy that incorporates consistent decision-making by individual consumers and firms. The Arrow–Debreu model was the culmination of a research programme to demonstrate the *existence of equilibrium in a *competitive economy. Adam Smith (1723–1790) identified how the ‘invisible hand’ of competition implied the efficiency of economic activity. It was soon realized that this observation had limited value without a corresponding formal model of the competitive economy. A formal model needed to derive market demand from the utility maximization of consumers and market supply from the profit maximization of firms. An equilibrium would then consist of a set of prices that ensured demand was equal to supply for all goods simultaneously. Léon Walras (1834–1910) developed such a model to the point of demonstrating that the number of relative prices was equal to the number of independent demand–supply equations but could not prove the existence of a simultaneous solution to his equations. The contribution of Kenneth Arrow (1921–2017) and Gerard Debreu (1921–2004) was to specify a competitive model for which they could prove the existence of an equilibrium. Their analysis provided final settlement of the existence question. It also introduced many new tools to economists (specifically, the role of convexity arguments, the use of correspondences, and the value of fixed point theorems in equilibrium arguments). In addition, Arrow and Debreu also formalized Adam Smith’s efficiency argument in the two *Fundamental Theorems of Welfare Economics. The Arrow–Debreu economy has been generalized to include dated commodities (goods available at different times) and *contingent commodities (goods available in different states of the world). This allowed the model to address economic issues concerned with time and uncertainty. These extensions provided, among many uses, the basis for the formal development of the theory of finance. *Arrow–Debreu state prices are now a basic tool for the valuation of financial instruments. The analysis of Arrow and Debreu set new standards of rigour in economics, and the Arrow–Debreu economy remains the foundation of much formal modelling in economics and finance. See also Edgeworth box; existence of equilibrium; general equilibrium.
Arrow–Debreu state price|The current price of a unit of consumption in a future state of the world. See also Arrow–Debreu economy.
Arrow’s impossibility theorem|The theorem provides a proof that no perfect process exists for aggregating individual rankings of alternatives into a collective (or social) ranking. An example of an aggregation process is *majority voting but the *Condorcet paradox shows how this can fail to produce a useful outcome. A perfect process is defined as one that satisfies a set of desirable axioms. The basis of Arrow’s theorem is a set of axioms that a collective ranking must satisfy. One of several equivalent ways of expressing these axioms is the following. Independence of irrelevant alternatives: adding a new option should not affect the initial ranking of the old options, so the collective ranking over the old options should remain unchanged. Non‐dictatorship: the collective ranking should not be determined by the preferences of a single individual. Pareto criterion: if every individual agrees on the ranking of the options, so should society. Hence, the collective ranking should coincide with the common individual ranking. Unrestricted domain: the collective choice method should accommodate any possible individual ranking of options. Transitivity: if option A is preferred to option B and B to C in the social ranking then C cannot be preferred to A. The impossibility theorem proves that there is no aggregation process that simultaneously satisfies these five axioms. See also collective choice; interpersonal comparisons; voting.
A-share|An *ordinary share in a company which, while it receives the same dividends as other ordinary shares, does not give its holder any voting rights. A-shares are issued to enable the group controlling a company to raise capital from outside without parting with *control. Because A-shareholders are excluded from control, these shares generally trade at a lower price than voting ordinary shares in the same company.
Asian crisis|A period of severe economic instability in the economies of South East Asia that began in the summer of 1997 and caused economic growth to cease in several countries. The crisis originated in the financial markets of Thailand and Korea due to speculation causing funds to be withdrawn from their currencies and stock markets. The crisis led to a slowdown in the world economy in 1998.
Asian Infrastructure Development Bank|(AIIB) A multilateral development bank whose establishment was first proposed by China in 2013. It lists 57 countries, including the UK, as founding members. The purpose of the bank is to provide sovereign-backed and non-sovereign-backed financing to projects contributing to the development of infrastructure and other productive sectors in Asia, and promoting regional cooperation. The bank started operations in December 2015 and has headquarters in Beijing.
Asia-Pacific Economic Cooperation|(APEC) An association of nations around the Pacific rim aiming at the creation of a Pacific free‐trade area. APEC was set up in 1989; it has 21 members, including Australia, Canada, Chile, China, Indonesia, Japan, Malaysia, Mexico, New Zealand, Singapore, the US, and a number of small Pacific states.
assembly line|A device moving a good being produced, for example a car, past a sequence of workers or machines. As it passes each work-station, a particular task is performed. Tasks may include adding components, working on components already in place, or checking the work of earlier stages. Assembly-line production allows *economies of scale, by keeping down the time needed to move workers or machines from one task to another.
asset-backed security|A security for which a specified set of underlying assets acts as *collateral. The value and income payments of the security are also derived from the underlying assets. *Securitization permits the risk of investing in the underlying assets to be diversified and creates an asset-backed security that can be sold to investors. Underlying assets have included mortgage loans, car loans, and cash flows from aircraft leases. The market for asset-backed securities grew very rapidly from the early 1990s. The failure of asset-backed securities to make the payments promised was at the heart of the *financial crisis of 2007.
asset motive|The incentive to hold money as a *store of value. If prices are stable, money is a poor store of value as it earns little or no return. When *inflation occurs, money does even worse as a store of value. If prices fall, however, money is an attractive asset, and if any chance of falling prices is anticipated, this can prompt a desire to hold money as an asset. In the *IS–LM model of *Keynesian economics consumers can hold savings in money or in bonds. Money is a safe asset whereas bonds are risky. The relative proportions of the two assets in savings will depend on a consumer’s degree of risk aversion. A highly risk-averse consumer will hold a large proportion in money.
asset prices|The prices of assets, such as land and buildings, productive equipment, and *securities. As assets can be traded, their present prices are strongly influenced by *expectations about their future prices, and by the interest rate at which future values are discounted. As stocks of assets are very large compared to any one period’s new asset creation, asset prices are anchored much less firmly than goods prices to costs of production. It is common for asset prices to vary widely over quite short time periods; the large differences between the maximum and minimum prices of individual shares reported within any one year is a typical observation.
assets|Possessions of value, both real and financial. Real assets include land, buildings, or machinery owned. Financial assets include cash and *securities, and credit extended to customers. The assets side of a company’s *balance sheet includes both real and financial assets. Asset management is managing for others, for a fee, their portfolios of real or financial assets. *Asset-stripping is selling off the assets of companies. Assets is also used in a metaphorical and usually favourable sense to describe things that cannot actually be owned, as in the phrase ‘a company’s best assets are the skill and loyalty of its employees’. See also current assets; intangible assets; liquid assets; natural assets; portfolio; risk-free asset; risk weighted assets; tangible assets.
asset-stripping|A pejorative description of the process of dividing up the assets of a company in cases where the total value of the parts when separated is greater than their value when combined. Examples could include selling off unused or under-utilized land or buildings, or selling off activities where heavy investment carries tax allowances which the company cannot use to other companies whose large present profits make the tax allowances valuable to them. A more favourable description of asset-stripping activities is corporate restructuring. Advocates of corporate restructuring argue that asset-stripping is only profitable because the assets were being inefficiently used, or simply neglected, in the first place.
Assisted Area|A UK region made eligible for special government assistance, under the state aid rules of the *European Commission, to encourage investment because of persistently above-average *unemployment. Development Areas are eligible for more help than Intermediate Areas. Grants for these areas are also available from the European Union through the European Regional Development Fund. Although special help for Assisted Areas has been available under various schemes since the 1930s, regional differences in unemployment have been very persistent.
asymmetric information|A situation where some participants in an economic transaction have access to more, or better, relevant *information than other participants. For example, an insurance company may not know whether an individual driver is good or bad, but the individual knows how often they drive when tired or after drinking alcohol. In this case the driver possesses more information relevant for an insurance contract than the insurance company. The demonstration that a *competitive equilibrium is *Pareto efficient assumes symmetric information. Economic agents need not be fully informed but they must be equally informed (or equally uninformed). For example, a competitive equilibrium is efficient when there is uncertainty about future asset returns provided no agent has superior information. Asymmetric information is a source of *market failure. Agents with superior information will attempt to gain advantage from this, and inefficiency will result. See also adverse selection; agency theory; moral hazard; principal-agent problem.
asymmetric shocks|Supply or demand *shocks that are not uniform across the different regions of an economy. For example, one region may have a positive demand shock whereas another region has a negative shock. The regions may be separate parts of a single country, member states of a *customs union, or different countries linked by trading relationships. If asymmetric shocks are frequent then it is difficult to maintain a common policy across the regions. See also optimum currency area.
asymptotic distribution|A distribution used to approximate the true finite sample distribution of a *random variable.
asymptotic theory|A theory of the limiting behaviour of estimators and functions of estimators, their distributions and moments, as the sample size approaches infinity. The results of asymptotic theory are used as approximations in finite sample inference, when the true finite sample properties are unknown.
Atkinson index|A measure of *income inequality. Define the equally distributed equivalent income, MEDE, as the level of income that if given to all households generates the same level of *social welfare as the current income distribution. If the marginal utility of income falls with income then MEDE is less than the mean level of income, μ, whenever there is income inequality. The Atkinson index, A, is then defined by  A higher value of A represents greater inequality. See also Gini coefficient; Lorenz curve.
auction|A sale where the price is fixed by an auctioneer who invites bids, and awards the article being auctioned to the highest bidder. In an *English auction the highest bid is publicly announced at each stage, and other parties are given a chance to make higher bids. In a sealed-bid auction the bids are not publicly announced: each bid is submitted sealed, and a time limit is set at which the auctioneer opens the bids and awards the article to the highest bidder, without further bids being invited. In a *Dutch auction the auctioneer announces a decreasing series of prices, and the article is awarded to the first bidder. In any of these types of auction there may or may not be a reserve price, which is the lowest bid the seller will accept; this may or may not be published. The auctioneer normally charges the seller and possibly also the buyer a fee calculated as a percentage of the realized price. See also first-price auction; second-price auction.
auctioneer|1. In practical usage, the auctioneer manages the bidding process in an *auction.
audit|The process of checking *accounts. Auditors check whether the accounts of a company, private trader, or association are complete and consistent, whether they agree with other records of purchases, sales, and inventories, and whether they comply with legal requirements and professional standards. *Companies are legally required to have their accounts externally audited, and many other bodies are required to do so by their own constitutions. Many companies and other organizations employ internal auditors, to check the accuracy and completeness of their internal bookkeeping. The audit provides a safeguard against both fraud and incompetence in accounting. See also efficiency audit.
auditor|A person or accountancy firm employed to check the *accounts of a company, private trader, or association. Auditors check whether accounts are complete and consistent, and whether they are in agreement with other records of purchases, sales, and inventories. They may certify that accounts present a ‘true and fair view’ of a company’s finances, or they can ‘qualify’ them, that is, add adverse comments. The auditors of UK companies are elected by the *annual general meetings of the companies’ shareholders, and are required to be professionally qualified accountants. Other bodies such as charities are required to have their accounts audited, but their auditors are often unpaid. Many companies and other organizations also employ internal auditors, to check on the accuracy and completeness of the firms’ internal bookkeeping, as a safeguard against both fraud and confusion in accounting.
augmented Dickey-Fuller|(ADF) test See Dickey-Fuller test.
augmented Phillips curve|See Phillips curve.
austerity measures|A set of economic policies aimed at controlling the *budget deficit by reducing government spending. Such measures are usually implemented when the ratio of national debt to GDP has reached an unsustainable level and a country is on the verge of defaulting on bond obligations. Austerity measures can include spending cuts and tax increases.
autarchy|The absence of trade. For any economy autarchy refers to the situation in which there is no internal trade. For an open economy autarchy can also refer to the absence of external trade. The term is also applied to the policy aim of reducing a country’s dependence on foreign trade, for example by *tariffs and *quotas, even when foreign trade cannot be entirely eliminated.
authorized capital|The nominal value of the *shares a company is empowered to issue. Companies often extend their authorized capital in advance of actual issue of new shares. This allows the timing of capital issues to be fixed in the light of the firm’s need for new capital and the state of the capital market, and allows *share options to be exercised.
autocorrelation|(serial correlation) A measure of the linear relation between the value of any item in a *time series and those coming before or after it. First-order autocorrelation refers to the relation of each item to those immediately before or after. Positive autocorrelation means that deviations from the mean tend to persist from period to period; negative autocorrelation means that deviations from the mean tend to be reversed. Many macroeconomic time series, such as *unemployment or the inflation rate, show positive autocorrelation. See also spatial autocorrelation.
autocorrelation coefficient|In time series, the correlation coefficient between a random variable and its lagged value.
autocorrelation function|(ACF) A sequence of the *autocorrelation coefficients of a *covariance stationary time series process as a function of the lag length.
autocovariance|In time series, the covariance between a random variable and its lagged values. Since it depends on the units of measurement of the underlying variable, it is often more convenient to divide it by the variance and use the resulting *autocorrelation coefficient instead.
autocovariance function|A sequence of autocovariances of a *covariance stationary time series process as a function of the lag length.
automated econometrics|An approach in empirical econometrics where model evaluation and selection is performed by a computerized algorithm according to pre-programmed decision rules. The algorithm largely mimics the general-to-specific approach to econometric modelling in which the statistically insignificant variables in each round of estimation are eliminated until only significant variables remain.
automatic stabilizers|See built-in stabilizers.
automation|Production by machinery without the need for immediate human intervention.
autonomous consumption|That part of *consumption which does not depend on current income. If aggregate consumption, C, is given by C = a + bYd, where Yd is *disposable income, a can be regarded as autonomous consumption. a > 0 because even those with no income need to consume to live, and can finance expenditure by running down assets or borrowing. The level of a is influenced by total assets held, expectations of future income or acquisitions of assets through legacies, and social conventions about minimal acceptable standards of living.
autonomous investment|The part of *investment which is not explained by changes in the level of output. This includes investment in public services, which are determined by government policy, investment to exploit new technical knowledge or geographical discoveries, and considerable amounts of replacement of existing capital as it wears out.
autonomous pension funds|Funds established by employers, or jointly by employers and employees, to provide pensions for specific groups of employees. An autonomous pension fund is legally separate from the provider and is either a legal entity in its own right or an account managed on behalf of the fund members.
autoregressive conditional heteroscedasticity|(ARCH) model A time series model in which the random error is conditionally heteroscedastic with respect to its past realizations. This model is used to describe volatility clustering, i.e. a pattern observed in many financial data where large and small deviations appear to occur in clusters. The simplest form is ARCH (1),
autoregressive integrated moving average (ARIMA (p, d, q)) model|A univariate time series model, in the most general form given by
autoregressive moving average (ARMA (p, q)) model|A univariate time series model that encompasses autoregressive and moving average models, and in the most general form is given by
autoregressive process|A model of a time series as a function of its own past values and a *random error. See also autoregressive integrated moving average model; autoregressive moving average model.
average cost|Total cost of production divided by quantity produced. Average cost is the sum of average fixed cost and average variable cost. Average *fixed cost necessarily decreases with output. Average *variable cost may decrease with output up to the point where limits to *capacity become a constraint, after which it tends to rise. If average variable cost rises faster than average fixed cost falls, this produces a *U-shaped average cost curve. Where a firm has multiple products average cost can be defined only if it is possible to attribute particular costs to particular products.
average cost pricing|The policy of setting prices so as just to cover average costs which allows the producer to *break even. While this is not a profit-maximizing policy (except when there are constant returns to scale so average cost is equal to marginal cost), it may be a policy followed by a government-controlled firm, or for a private but non-profit-making body. *Marginal cost pricing is the first-best pricing policy for a producer operating in the public interest but this requires any losses to be financed without imposing deadweight costs elsewhere in the economy. Average cost pricing, where goods are sold at the lowest price consistent with covering average costs, ensures there are no losses to be financed, so can be a *second-best optimum.
average earnings scheme|See career average scheme.
average tax rate|Tax liability as a proportion of the tax base. See also marginal tax rate.
Averch-Johnson effect|The observation that whenever the profit to capital ratio of a company is regulated it has an incentive to over-invest in capital. This results in an inefficiently high level of capital accumulation.
avoidable cost|That part of the cost of any output that could be saved by not producing it. Some costs are clearly not avoidable, for example capital costs. Other costs might on first inspection appear to be avoidable, but may actually not be. For example, ceasing production would save on fuel, materials, and labour; but fuel and materials may be bought on long-term contracts, and employees laid off may be entitled to pay in lieu of notice. Thus these costs, too, may not be avoidable in the short run.
avoidance|Taking legally permissible actions to reduce a liability. For example, *tax avoidance is the reduction of tax liability by taking actions such as offshore investment. In principle, avoidance can be distinguished from evasion, which involves taking illegal actions to reduce a liability. In practice, the borderline between avoidance and evasion is not clear and can only be determined by court ruling.
axiom|A sentence or proposition that is not proved or demonstrated but is used as a starting point for deducing other conclusions. When used in economics, an axiom is any initial assumption from which other statements are logically derived. In this use, an axiom is not necessarily a self-evident truth but is instead a formal statement used in further deduction.
axioms of preference|A set of assumptions that characterize rational preferences. The standard axioms are completeness (given any two options x and y then either x is at least as good as y or y is at least as good as x), transitivity (if x is at least as good as y and y is at least as good as z, then x is at least as good as z), and reflexivity (x is at least as good as x). Preferences that satisfy these axioms can be represented by a set of *indifference curves that do not cross. This represents the starting point for the standard theory of choice.
backdoor|The conduct of monetary policy through channels that are not publicly observable.
backwardation|A situation in which the futures price (or forward price) of a commodity is lower than the *spot price. See also contango; forwards and futures.
backward-bending supply curve|A *supply curve for a good that initially shows supply increasing as price rises but then ‘bends backwards’ and shows supply falling as price rises further. A backward-bending labour supply curve can result from the *income effect of a higher wage rate dominating the *substitution effect.
backward induction|The process of solving multi-stage decision problems by finding the optimal choice in the final stage conditional on earlier choices, and then working back to the beginning taking one stage at a time. Backward induction can be applied to single-agent finite choice problems. It can also be used to solve for the *Nash equilibrium in multi-stage games. See also closed-loop equilibrium; open-loop equilibrium.
backward integration|The expansion of a firm’s activities to include the production of inputs formerly bought in from outside. Examples include a firm manufacturing its own components, mining its own mineral requirements, generating its own power supplies, or even growing food for its own works canteen. Backward integration may be pursued to improve the quality or reliability of inputs, or to increase a firm’s *monopoly power by denying access to inputs to actual or potential rivals.
bad bank|A financial institution that is specifically set up to hold bad or *toxic assets. The purpose of founding a bad bank is to remove problem assets from the balance sheets of other banks, so permitting the banks to return to regular activities. The formation of bad banks has been used as a method of containing banking crises.
bad debt|*Debt whose repayment is known to be impossible or unlikely. The failure of a borrower to make payments of principal or interest on the due dates is evidence that a debt is bad, but a debt can become bad even before failure to make payment if the borrower is known or believed to be insolvent. If payments are delayed, creditors who think that payment will eventually be made may be willing to formally *reschedule debts, or merely to wait for payment without any formal agreement. At what stage *write-off of bad debt should occur, that is, the creditors should cease to record them as assets in their accounts, is a matter of judgement. Institutions with numerous debts owing to them may make provision for losses without specifying which particular debts they regard as being uncollectable.
bad debt provision|A statement in the accounts of a creditor of the extent to which it expects to have to write off *bad debts, that is, to cease to record them as assets in its accounts. A firm with bad debts must eventually decide to write them off. If it has numerous debtors that may not make the payments promised, it is possible to make a ‘bad debt provision’, naming an amount by which it expects to have to write off bad debts, without the need to specify which particular debts will become bad.
‘bad money drives out good’|See Gresham’s Law.
balance|See external balance; internal balance; invisible balance.
balanced budget|A balanced budget occurs when total government receipts and expenditure are equal. There is thus no need for additional government borrowing so *government debt remains constant. The UK Labour government of 1997–2010 imposed the *golden rule that the budget need not balance every year but current receipts and expenditure had to be balanced on average over an economic *cycle.
balanced budget amendment|A proposal to compel the US government to balance its budget by a constitutional amendment forbidding further government borrowing. Such an amendment would remove the discretion to allow a deficit to deal with a *recession or a political crisis requiring increased spending. In practice, any amendment would need to accommodate short-run fluctuations in the budget position that cannot be avoided because of the dependence of revenue on fluctuations in the level of activity. There is also certain scope for *creative accounting or the creation of off-budget but government-controlled special funds that make it difficult to enforce a balanced budget.
balanced budget multiplier|An argument in *Keynesian economics that an increase in government spending on real goods and services combined with an equal increase in taxation, leaving the budget deficit or surplus unaltered, must increase national product by exactly the amount spent. The basic national income identity gives Y = C + I + G. Assume I is fixed and that the consumption function is C = a + b(Y − T), where T is income taxation. Then Y = a + b(Y − T) + I + G, and variations in Y, T, and G must satisfy dY = b(dY − dT) + dG. If the budget is balanced, then dT = dG and hence dY = dG, which is the balanced budget multiplier.
balanced growth path|An equilibrium in which major aggregate economic variables, such as output and the capital stock, grow at the same rate over time, and the real interest rate is constant. This reflects historic observations of the long-term stability of interest rates and capital-to-output ratios in developed countries. In development economics the balanced growth path refers to simultaneous and coordinated expansion of several sectors of an economy (also known as a *big push). This is in contrast to the concept of unbalanced growth, in which a large investment in one sector of a developing economy generates, through backward and forward linkages, the scope for expansion in other sectors.
balance of payments|1. An overall statement of a country’s economic transactions with the rest of the world over some period, often a year. A table of the balance of payments shows amounts received from the rest of the world and amounts spent abroad. The *current account includes exports and imports, that is, visible trade, and receipts from spending abroad on services such as tourism. It also includes receipts of property incomes from abroad and remittances of property incomes abroad, and receipts and payments of international transfers, that is, gifts. The *capital account of the balance of payments includes inward and outward *foreign direct investment, and sales and purchases of foreign securities by residents and of domestic securities by non-residents. The third element in the balance of payments is changes in official *foreign exchange reserves. See also financial account.
balance-of-payments crisis|A crisis occurs when the *balance of payments is unsustainable. This means that *foreign exchange reserves are falling rapidly, or are being maintained only by a level of foreign borrowing leading to difficulties in obtaining further loans. A balance-of-payments crisis may be ended by improving the balance of payments on current account, via a recession in domestic activity, or by *devaluation. It may alternatively be ended by changing policies so as to prevent *capital flight and induce inward capital movements. It may also help if a foreign loan can be obtained to allow time for the current account balance to improve.
balance of trade|The excess of visible exports over visible imports. This is a major, but far from the only, component of the balance of payments on *current account.
balance sheet|A statement of the money values of the *assets and *liabilities of a firm or any other organization at some moment, particularly the end of a *financial year. Assets can include money, securities, land, buildings and other capital equipment, stocks and work in progress, and amounts due from debtors. Liabilities include secured and unsecured debts. The excess of assets over liabilities is the *net worth of the firm; for a solvent firm this is positive, and is treated as a liability of the firm to its shareholders, so that the balance sheet by definition balances. Any firm whose liabilities exceed its assets is insolvent. It should be noted that not all items on a balance sheet are equally reliable. The value of cash held and that of amounts due from debtors are certain, and the value of easily traded securities and commodities is reliably known, though liable to change rapidly; but the value of real assets such as land, buildings, and equipment, and that of securities which are not readily traded, are matters of estimation. A balance sheet, which shows the state of affairs at a moment in time, is contrasted with a *profit-and-loss account, which shows flows over some period such as a firm’s financial year.
balances with the Bank of England|Balances held at the *Bank of England by UK commercial banks. Most payments by cheque involve the customers of different banks: the bank whose customer makes a payment has to transfer money to the bank whose customer receives it. This is done through the bank *clearing system. Most of these payments are mutually offsetting, but the small residual of payments due to or from each bank at the close of the daily clearing is settled by the transfer of bankers’ balances with the Bank of England.
balancing item|An entry in a set of *accounts to cover the discrepancy between two different figures for the same item. This is used when two methods of measurement produce different results for figures which should by definition be the same if both methods were completely accurate. Statisticians include a balancing item, or statistical adjustment, rather than changing one figure to agree with the other, when they do not know which, if either, is correct.
Baltic Free Trade Agreement|A free trade agreement between Estonia, Latvia, and Lithuania established in 1993 and remaining in place until the three countries joined the European Union in 2004.
Banco del Sur|The ‘Bank of the South’ is a development bank in Latin America established in 2009 by Argentina, Bolivia, Brazil, Ecuador, Paraguay, Uruguay, and Venezuela, with headquarters in Caracas, Venezuela, to provide an alternative to the *International Monetary Fund and the *World Bank as a source of loans for social programmes and infrastructure projects.
bandwidth|The scale of the neighbourhood of a point that is utilized in the non-parametric estimation of a function at that point. For example, if a *histogram is used as a non-parametric estimator of the probability density function, the bandwidth is the size of the bin (the range of values in each category). See also kernel regression.
bank|A financial institution whose main activities are borrowing and lending money. Banks borrow by accepting *deposits from the general public or other financial institutions. Bank loans are an important source of finance for firms, consumers, and government. *Commercial banks may be all-purpose or specialized. Investment banks specialize on loans to firms; merchant banks on financing capital market transactions and international trade; and savings banks on collecting and lending the savings of numerous, mostly small-scale, savers. *Central banks supervise the banking system and control the *money supply. In the US the central bank is the Federal Reserve; in France the Banque de France; and in the UK the Bank of England. There are also international banks. The World Bank, or *International Bank for Reconstruction and Development, is an investment bank at the international level. The nearest international equivalent to a central bank is the *International Monetary Fund. The *European Central Bank conducts monetary policy in the *eurozone. The *European Bank for Reconstruction and Development is a European investment bank, similar to the World Bank at a European level. See also clearing bank; investment bank; joint-stock bank; member bank; merchant bank; overseas bank.
bank account|An account with a bank, held by an individual, firm, or government. Bank accounts are used by holders to conduct their transactions, either by providing cash when it is needed or by transferring balances to other people as ordered by cheques, direct debits, or electronic transfers. Money in an account may be instantly available, as in a current account (UK) or a checking account (US); or notice of withdrawal may be required, as in a deposit account (UK) or a time account (US). An account may be in credit, when the bank owes the customer money, or overdrawn, in which case the customer owes the bank money. Current accounts normally earn little or no interest, and may be liable to charges; interest is paid at somewhat higher rates on deposit accounts, and interest at considerably higher rates is charged on *overdrafts, which may also incur extra charges.
bank deposit|See deposit.
Bankers Automated Credit System|(BACS) The system by which depositors instruct their banks to make payments to named accounts, without the need to use a cheque. BACS is widely used for payments of dividends and wages.
banker’s draft|A cheque issued by a bank and sold to a customer. This may be acceptable to a third party who would not accept the customer’s cheque for the amount, which may be too large to be covered by any bank card. The bank’s credit is better than that of the customer, and a banker’s draft is unstoppable. The equivalent of the banker’s draft in the US is the certified check.
Bank for International Settlements|(BIS) An international bank based in Basel, founded in 1930 to coordinate payments of reparations after the First World War. Its possible role as the principal international bank was taken over after 1945 by the *International Monetary Fund. The BIS has acted as trustee for the *Organization for Economic Co-operation and Development and the European Monetary Agreement, and as a clearing-house for *European Currency Units. It sets capital adequacy ratios for European banks, and compiles statistics on international debt. Most European central banks are members of the BIS, as are those of Canada, Japan, and the United States.
banking|The provision of payments facilities, credit, and capital to individuals, firms, and the government. Retail banking is the provision of payments, savings, and credit facilities in relatively small quantities to a large number of individual or small business customers. Investment banking is the provision of credit and capital in larger quantities to relatively large businesses. Universal banking combines these functions in the same banks, as for example in European countries including Germany. In the US and the UK the functions are largely separate: in the US as a requirement of the *Glass–Steagal Act of 1933, and in the UK through voluntary choice by the banks. The argument against universal banking is that mistaken investments may impair the solvency of banks responsible for the payments system. Modern banking has added further functions, including stockbroking and *portfolio management, mortgage finance, and insurance, to the traditional activities. See also branch banking; fractional reserve banking; relationship banking; retail banking; shadow banking; wholesale banking.
banking system|The network of institutions that provides banking services. This consists of three parts. First, there are the actual banks providing services to the general public; these may be universal banks, or specialist institutions dealing with particular types of banking business. These range from ‘high street’ banks, with numerous branches dealing with many small clients, to merchant banks specializing in financing capital market transactions or foreign trade. Second, there are higher-level institutions, which are not involved in direct contact with the general public. These are *central banks, which act as bankers for other banks and the government, and are responsible for monetary policy and macroeconomic management of the monetary system; and bank regulatory bodies, which supervise other banks and check their probity, *liquidity, and solvency. These higher-tier functions can be combined in the same institution, as with the *Bank of England for the UK, or separated, as in Germany. Third, there are *shadow banks that engage in credit creation but do not register as banks in order to avoid regulation.
bank loan|A loan from a bank to an individual or firm. Bank advances for large amounts or for business purposes are normally made against *security, for example the title deeds of buildings or life insurance policies. Bank overdrafts or personal loans for small amounts are often unsecured if the customer is regarded as a good risk.
bank note|Paper money issued by a bank. The issue of notes in most countries is either entirely confined to or subject to strict control by the *central bank. A bank note was originally a promise to pay coin on demand; this tradition is preserved by the form of words used on Bank of England notes in the UK.
Bank of Credit and Commerce International|(BCCI) A large international bank that operated in many countries, whose collapse in 1991 with a multi-billion pound shortage of funds provoked widespread suspicion of false bookkeeping and money-laundering, and widespread concern about the adequacy of supervision arrangements for international banks.
Bank of England|The UK *central bank. Originally founded in 1694 as a private bank to lend to the government and manage the *national debt, by the 19th century it had developed into a central bank. In 1844 the Bank Charter Act formalized its status. Its main functions were controlling the *money supply, through the Issue Department, and acting as a banker for the government and other banks, through the Banking Department. The bank came under formal government ownership when it was nationalized in 1946. The Governor and Directors are now appointed by the government. The Bank of England administered *exchange controls until these were abolished in 1979, and advised the government on *monetary policy until 1997, when it was made independent. It holds the national *foreign exchange reserves, in the Exchange Equalization Account, and manages the national debt. It is also responsible for supervision of the banking system, and acts as *lender of last resort in financial crises.
bank rate|Until 1972 this was the interest rate used by the *Bank of England to *rediscount first-class bills for its customers. When this system was in operation many other interest rates were specified in terms of their margin above bank rate. The bank rate directly affected other interest rates only when the market needed to borrow from the Bank of England, but changes in bank rate were announced as a means of informing the *City of the Bank of England’s views on what commercial interest rates should be.
bank regulation|The application to banks of public controls stricter than those on businesses in general. This is justified by concerns that bank failures may disrupt the rest of the economy in a way that other business failures do not. Banks provide most of the *money used in a modern economy, and lend on a large scale. When a bank is managed irresponsibly, taking excessive risks and holding too small reserves, this is liable to cause a *bank run by its customers if they suspect it of being illiquid or insolvent. If one bank defaults on its obligations, this is liable to undermine other banks or financial institutions. Most countries therefore empower either their *central bank or some other public institution to supervise banks, laying down rules for their lending and reserve holding, and monitoring the banks’ accounts to check that the rules are being obeyed. In many countries the central bank acts as *lender of last resort, to prevent banks that are illiquid from defaulting. It is more important to safeguard banks’ *solvency than their *liquidity; a solvent bank should be able to borrow liquid assets when it needs them, but no amount of liquidity can save a bank once it is known to be insolvent. Bank regulators have in the past also been concerned with restraining banks’ use of monopoly power. See also Basel Agreement.
